fecha,provincia,producto,media,n
2026-07-12,Córdoba,gasoleo_a,1.5905,208
2026-07-12,Córdoba,gasoleo_premium,1.6844,103
2026-07-12,Córdoba,gasolina_95_e5,1.5436,203
2026-07-12,Córdoba,gasolina_98_e5,1.7254,66
2026-07-12,Córdoba,glp,1.0921,13
2026-07-12,Gipuzkoa,gasoleo_a,1.5793,145
2026-07-12,Gipuzkoa,gasoleo_premium,1.6738,80
2026-07-12,Gipuzkoa,gasolina_95_e5,1.5682,131
2026-07-12,Gipuzkoa,gasolina_98_e5,1.7669,77
2026-07-12,Gipuzkoa,glp,1.0484,19
2026-07-12,Girona,gasoleo_a,1.5552,267
2026-07-12,Girona,gasoleo_premium,1.6797,149
2026-07-12,Girona,gasolina_95_e5,1.5677,257
2026-07-12,Girona,gasolina_98_e5,1.7547,156
2026-07-12,Girona,glp,1.0902,25
2026-07-12,Granada,gasoleo_a,1.54,281
2026-07-12,Granada,gasoleo_premium,1.6556,170
2026-07-12,Granada,gasolina_95_e5,1.5297,277
2026-07-12,Granada,gasolina_98_e5,1.7233,152
2026-07-12,Granada,glp,1.0154,23
2026-07-12,Guadalajara,gasoleo_a,1.5764,89
2026-07-12,Guadalajara,gasoleo_premium,1.666,44
2026-07-12,Guadalajara,gasolina_95_e5,1.5676,87
2026-07-12,Guadalajara,gasolina_98_e5,1.7836,43
2026-07-12,Guadalajara,glp,1.0118,6
2026-07-12,Huelva,gasoleo_a,1.6024,138
2026-07-12,Huelva,gasoleo_premium,1.7147,58
2026-07-12,Huelva,gasolina_95_e5,1.5914,133
2026-07-12,Huelva,gasolina_98_e5,1.7755,48
2026-07-12,Huelva,glp,1.0792,6
2026-07-12,Huesca,gasoleo_a,1.5847,121
2026-07-12,Huesca,gasoleo_premium,1.6848,58
2026-07-12,Huesca,gasolina_95_e5,1.5447,111
2026-07-12,Huesca,gasolina_98_e5,1.7289,53
2026-07-12,Huesca,glp,1.1043,3
2026-07-12,Jaén,gasoleo_a,1.59,212
2026-07-12,Jaén,gasoleo_premium,1.6793,101
2026-07-12,Jaén,gasolina_95_e5,1.545,208
2026-07-12,Jaén,gasolina_98_e5,1.741,80
2026-07-12,Jaén,glp,1.0564,14
2026-07-12,León,gasoleo_a,1.5954,163
2026-07-12,León,gasoleo_premium,1.6788,112
2026-07-12,León,gasolina_95_e5,1.57,157
2026-07-12,León,gasolina_98_e5,1.7428,95
2026-07-12,León,glp,1.1031,8
2026-07-12,Lleida,gasoleo_a,1.5102,181
2026-07-12,Lleida,gasoleo_premium,1.6228,79
2026-07-12,Lleida,gasolina_95_e5,1.5035,166
2026-07-12,Lleida,gasolina_98_e5,1.7,78
2026-07-12,Lleida,glp,1.1571,7
2026-07-12,Lugo,gasoleo_a,1.5942,128
2026-07-12,Lugo,gasoleo_premium,1.6948,66
2026-07-12,Lugo,gasolina_95_e5,1.584,126
2026-07-12,Lugo,gasolina_98_e5,1.7611,60
2026-07-12,Lugo,glp,1.056,7
2026-07-12,Madrid,gasoleo_a,1.5756,862
2026-07-12,Madrid,gasoleo_premium,1.6627,453
2026-07-12,Madrid,gasolina_95_e5,1.5723,857
2026-07-12,Madrid,gasolina_98_e5,1.7707,416
2026-07-12,Madrid,glp,1.0274,134
2026-07-12,Melilla,gasoleo_a,1.3745,11
2026-07-12,Melilla,gasoleo_premium,1.421,7
2026-07-12,Melilla,gasolina_95_e5,1.4207,11
2026-07-12,Murcia,gasoleo_a,1.541,455
2026-07-12,Murcia,gasoleo_premium,1.62,232
2026-07-12,Murcia,gasolina_95_e5,1.5322,432
2026-07-12,Murcia,gasolina_98_e5,1.7103,236
2026-07-12,Murcia,glp,1.041,44
2026-07-12,Málaga,gasoleo_a,1.6073,303
2026-07-12,Málaga,gasoleo_premium,1.7089,208
2026-07-12,Málaga,gasolina_95_e5,1.5955,300
2026-07-12,Málaga,gasolina_98_e5,1.7727,164
2026-07-12,Málaga,glp,1.0367,33
2026-07-12,Navarra,gasoleo_a,1.5233,239
2026-07-12,Navarra,gasoleo_premium,1.6332,97
2026-07-12,Navarra,gasolina_95_e5,1.5379,215
2026-07-12,Navarra,gasolina_98_e5,1.756,63
2026-07-12,Navarra,glp,1.09,20
2026-07-12,Ourense,gasoleo_a,1.5983,88
2026-07-12,Ourense,gasoleo_premium,1.6827,57
2026-07-12,Ourense,gasolina_95_e5,1.5861,88
2026-07-12,Ourense,gasolina_98_e5,1.7467,61
2026-07-12,Ourense,glp,1.0952,5
2026-07-12,Palencia,gasoleo_a,1.5912,68
2026-07-12,Palencia,gasoleo_premium,1.6898,45
2026-07-12,Palencia,gasolina_95_e5,1.572,65
2026-07-12,Palencia,gasolina_98_e5,1.7599,37
2026-07-12,Palencia,glp,1.1078,4
2026-07-12,Palmas (Las),gasoleo_a,1.4114,258
2026-07-12,Palmas (Las),gasoleo_premium,1.532,156
2026-07-12,Palmas (Las),gasolina_95_e5,1.3744,257
2026-07-12,Palmas (Las),gasolina_98_e5,1.5089,227
2026-07-12,Palmas (Las),glp,0.9187,19
2026-07-12,Pontevedra,gasoleo_a,1.5798,226
2026-07-12,Pontevedra,gasoleo_premium,1.6947,143
2026-07-12,Pontevedra,gasolina_95_e5,1.5679,224
2026-07-12,Pontevedra,gasolina_98_e5,1.7368,134
